"filename", "language", "PHP", "PostCSS", "Markdown", "JSON", "Batch", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\test\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\test\activity_logs.php", "PHP", 277, 0, 0, 0, 0, 0, 0, 0, 18, 35, 330
"c:\xampp\htdocs\test\add_row.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\xampp\htdocs\test\add_user.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\xampp\htdocs\test\auth.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\xampp\htdocs\test\backup.bat", "Batch", 0, 0, 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\test\bug_reports.php", "PHP", 1118, 0, 0, 0, 0, 0, 0, 0, 127, 160, 1405
"c:\xampp\htdocs\test\check_dublicate.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"c:\xampp\htdocs\test\check_unp.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"c:\xampp\htdocs\test\contracts.php", "PHP", 2022, 0, 0, 0, 0, 0, 0, 0, 217, 473, 2712
"c:\xampp\htdocs\test\create_client.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 9, 13, 87
"c:\xampp\htdocs\test\db.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 0, 15, 25, 201
"c:\xampp\htdocs\test\delete_contract_file.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 5, 8, 40
"c:\xampp\htdocs\test\delete_project_ttns.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 6, 11, 55
"c:\xampp\htdocs\test\delete_row.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\xampp\htdocs\test\delete_ttn_pdf.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 6, 9, 45
"c:\xampp\htdocs\test\delete_user.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 6, 7, 42
"c:\xampp\htdocs\test\directory.php", "PHP", 200, 0, 0, 0, 0, 0, 0, 0, 25, 33, 258
"c:\xampp\htdocs\test\export_contracts_excel.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 5, 12, 112
"c:\xampp\htdocs\test\export_excel.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 0, 13, 16, 147
"c:\xampp\htdocs\test\force-fix.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\xampp\htdocs\test\get_client.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 6, 9, 53
"c:\xampp\htdocs\test\get_matrix_details.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 6, 12, 75
"c:\xampp\htdocs\test\get_ttns.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 18, 23, 132
"c:\xampp\htdocs\test\index.php", "PHP", 1968, 0, 0, 0, 0, 0, 0, 0, 165, 334, 2467
"c:\xampp\htdocs\test\logger.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 18, 20, 138
"c:\xampp\htdocs\test\login.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"c:\xampp\htdocs\test\logout.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 7, 5, 31
"c:\xampp\htdocs\test\ping.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"c:\xampp\htdocs\test\rates.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 4, 3, 30
"c:\xampp\htdocs\test\rates_cache.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\test\register_user.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 0, 18, 35, 252
"c:\xampp\htdocs\test\report.php", "PHP", 318, 0, 0, 0, 0, 0, 0, 0, 35, 52, 405
"c:\xampp\htdocs\test\save.php", "PHP", 112, 0, 0, 0, 0, 0, 0, 0, 20, 32, 164
"c:\xampp\htdocs\test\save_multiple_ttns.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 4, 5, 42
"c:\xampp\htdocs\test\save_new_contract.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 5, 6, 44
"c:\xampp\htdocs\test\save_ttn.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 0, 7, 12, 79
"c:\xampp\htdocs\test\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 794, 100, 200, 1094
"c:\xampp\htdocs\test\sidebar.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 0, 10, 21, 169
"c:\xampp\htdocs\test\style.css", "PostCSS", 0, 444, 0, 0, 0, 0, 0, 0, 40, 76, 560
"c:\xampp\htdocs\test\suggestions.php", "PHP", 126, 0, 0, 0, 0, 0, 0, 0, 7, 15, 148
"c:\xampp\htdocs\test\tasks.php", "PHP", 379, 0, 0, 0, 0, 0, 0, 0, 38, 57, 474
"c:\xampp\htdocs\test\update_cell.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 14, 11, 79
"c:\xampp\htdocs\test\update_client.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 4, 13, 92
"c:\xampp\htdocs\test\update_contract_cell.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\xampp\htdocs\test\update_user.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\xampp\htdocs\test\upload_contract.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 11, 16, 96
"c:\xampp\htdocs\test\upload_scan.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 14, 21, 103
"c:\xampp\htdocs\test\upload_ttn_pdf.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 4, 11, 54
